weg_num,foto_id,framenum,lat,lon,taken_at
0513_001,14,1106,52.5100233333,9.02011333333,16:16:11.185000
0513_001,15,1165,52.50996,9.02032833333,16:16:13.169000
0513_001,22,1585,52.5095183333,9.02192666667,16:16:27.171000
0513_001,23,1645,52.50946,9.02215666667,16:16:29.169000
0513_001,24,1705,52.5093983333,9.02239166667,16:16:31.170000
0513_001,25,1765,52.5093466667,9.02261,16:16:33.170000
0513_001,26,1834,52.5092916667,9.02283333333,16:16:35.476000
0513_001,27,1884,52.50923,9.023045,16:16:37.169000
0513_001,28,1944,52.509155,9.02329,16:16:39.171000
0513_001,30,2064,52.509035,9.02375833333,16:16:43.170000
0513_001,31,2134,52.50897,9.02398666667,16:16:45.477000
0513_001,32,2184,52.508915,9.02421666667,16:16:47.170000
0513_001,34,2304,52.5087966667,9.02467166667,16:16:51.169000
0513_001,3,266,52.510725,9.01741,16:15:43.167000
0513_001,40,2784,52.5084533333,9.026125,16:17:07.187000
0513_001,42,2904,52.5083483333,9.02656666667,16:17:11.187000
0513_001,47,3203,52.5080333333,9.02771833333,16:17:21.170000
0513_001,49,3332,52.5078933333,9.02818833333,16:17:25.471000
0513_001,50,3384,52.5078383333,9.02841166667,16:17:27.181000
0513_001,51,3443,52.5077766667,9.02864833333,16:17:29.163000
0513_001,52,3503,52.50771,9.02887166667,16:17:31.163000
0513_001,56,3782,52.50744,9.0298,16:17:40.478000
0513_001,4,386,52.5106583333,9.01768833333,16:15:47.169000
0513_001,59,4163,52.5071316667,9.02911833333,16:17:53.187000
0513_001,60,4193,52.5070816667,9.02890333333,16:17:54.187000
0513_001,61,4232,52.507035,9.02865833333,16:17:55.477000
0513_001,62,4253,52.506985,9.02841,16:17:56.171000
0513_001,64,4313,52.506885,9.027915,16:17:58.170000
0513_001,65,4343,52.5068333333,9.02764833333,16:17:59.188000
0513_001,68,4433,52.506685,9.02676166667,16:18:02.171000
0513_001,69,4463,52.5066483333,9.02644666667,16:18:03.171000
0513_001,71,4532,52.506575,9.02582,16:18:05.478000
0513_001,72,4553,52.5065516667,9.0255,16:18:06.171000
0513_001,73,4583,52.5065333333,9.02516666667,16:18:07.171000
0513_001,76,4682,52.5065166667,9.02416,16:18:10.477000
0513_001,5,485,52.5105816667,9.01793833333,16:15:50.476000
0513_001,1,56,52.51084,9.016985,16:15:36.170000
0513_001,7,655,52.5104183333,9.01853,16:15:56.162000
0513_001,8,715,52.5103633333,9.018735,16:15:58.163000
0513_001,9,805,52.5102966667,9.01904166667,16:16:01.169000
0513_001,10,865,52.51024,9.01925333333,16:16:03.170000
0513_002,15,1024,52.5128316667,9.02382833333,16:20:14.191000
0513_002,16,1083,52.5127183333,9.02422333333,16:20:16.172000
0513_002,17,1144,52.51261,9.02463333333,16:20:18.192000
0513_002,18,1211,52.5125083333,9.025025,16:20:20.454000
0513_002,19,1263,52.512415,9.02541833333,16:20:22.172000
0513_002,21,1383,52.51222,9.0262,16:20:26.172000
0513_002,22,1443,52.5121283333,9.02652,16:20:28.185000
0513_002,23,1511,52.5120466667,9.02679,16:20:30.454000
0513_002,25,1623,52.5118716667,9.02739,16:20:34.172000
0513_002,27,1743,52.5116983333,9.02804666667,16:20:38.172000
0513_002,28,1811,52.5116133333,9.02838,16:20:40.454000
0513_002,29,1863,52.5115583333,9.02873166667,16:20:42.173000
0513_002,32,2042,52.5113433333,9.02981333333,16:20:48.172000
0513_002,33,2111,52.51127,9.03017833333,16:20:50.473000
0513_002,34,2162,52.5111916667,9.030555,16:20:52.173000
0513_002,35,2223,52.5111183333,9.03093,16:20:54.191000
0513_002,36,2282,52.5110366667,9.03130666667,16:20:56.173000
0513_002,37,2342,52.5109583333,9.03167833333,16:20:58.173000
0513_002,41,2582,52.5106333333,9.03320166667,16:21:06.173000
0513_002,7,544,52.51358,9.02082833333,16:19:58.171000
0513_002,9,663,52.5134016667,9.02158166667,16:20:02.171000
0513_002,11,783,52.51322,9.02229833333,16:20:06.172000
0513_002,12,843,52.5131283333,9.02266333333,16:20:08.172000
0513_002,14,963,52.5129416667,9.02343333333,16:20:12.172000
0513_003,11,1004,52.5105433333,9.038285,16:22:41.155000
0513_003,12,1132,52.51095,9.038365,16:22:45.437000
0513_003,13,1184,52.511135,9.03847666667,16:22:47.164000
0513_003,14,1244,52.5112783333,9.038545,16:22:49.162000
0513_003,15,1334,52.51141,9.03860666667,16:22:52.182000
0513_003,16,1432,52.5115533333,9.038655,16:22:55.465000
0513_003,18,1633,52.5118533333,9.038665,16:23:02.162000
0513_003,19,1693,52.511995,9.03872333333,16:23:04.164000
0513_003,21,1993,52.5126433333,9.03926666667,16:23:14.157000
0513_003,23,2083,52.5129816667,9.03942166667,16:23:17.157000
0513_003,24,2143,52.5131833333,9.039535,16:23:19.158000
0513_003,25,2203,52.5133833333,9.03966166667,16:23:21.177000
0513_003,29,2443,52.5142333333,9.039935,16:23:29.163000
0513_003,30,2503,52.5144833333,9.03996666667,16:23:31.163000
0513_003,35,2742,52.5155266667,9.04012166667,16:23:39.163000
0513_003,36,2781,52.5156766667,9.04013166667,16:23:40.440000
0513_003,38,2832,52.515995,9.04017333333,16:23:42.162000
0513_003,39,2863,52.5161516667,9.040195,16:23:43.183000
0513_003,40,2893,52.5163083333,9.04021833333,16:23:44.182000
0513_003,41,2931,52.5164566667,9.04023,16:23:45.441000
0513_003,44,3080,52.517085,9.04027333333,16:23:50.440000
0513_003,45,3133,52.517345,9.04028666667,16:23:52.183000
0513_003,46,3193,52.517605,9.04028833333,16:23:54.182000
0513_003,51,3492,52.5188466667,9.04042166667,16:24:04.164000
0513_003,54,3680,52.5196166667,9.04054166667,16:24:10.447000
0513_003,56,3792,52.520145,9.0406,16:24:14.164000
0513_003,3,383,52.5091216667,9.03799666667,16:22:20.445000
0513_003,57,3830,52.5202866667,9.04060333333,16:24:15.446000
0513_003,58,3882,52.5205483333,9.040625,16:24:17.190000
0513_003,59,3942,52.5207916667,9.04064,16:24:19.170000
0513_003,60,4002,52.5210233333,9.04066,16:24:21.171000
0513_003,61,4062,52.5212583333,9.040695,16:24:23.171000
0513_003,62,4131,52.521525,9.040735,16:24:25.472000
0513_003,64,4212,52.5219266667,9.04078333333,16:24:28.189000
0513_003,65,4280,52.52219,9.04081833333,16:24:30.446000
0513_003,66,4332,52.522445,9.04083666667,16:24:32.171000
0513_003,67,4392,52.5226766667,9.04086,16:24:34.190000
0513_003,68,4452,52.5228933333,9.04087,16:24:36.194000
0513_003,5,532,52.5094483333,9.03804166667,16:22:25.437000
0513_003,1,83,52.5087633333,9.03788666667,16:22:10.465000
0513_003,8,833,52.509965,9.03814,16:22:35.454000
0513_004,16,1220,52.502665,8.98688333333,15:10:20.501000
0513_004,17,1298,52.502645,8.98660166667,15:10:23.122000
0513_004,18,1389,52.502585,8.98628666667,15:10:26.138000
0513_004,19,1478,52.50251,8.98597666667,15:10:29.122000
0513_004,20,1538,52.5024633333,8.98575666667,15:10:31.121000
0513_004,22,1670,52.5023783333,8.98530833333,15:10:35.512000
0513_004,23,1718,52.5023383333,8.98509,15:10:37.122000
0513_004,24,1819,52.5022816667,8.98483166667,15:10:40.492000
0513_004,3,219,52.50092,8.98814666667,15:09:47.111000
0513_004,4,320,52.5010566667,8.98808833333,15:09:50.492000
0513_004,1,39,52.500875,8.98863833333,15:09:41.121000
0513_004,5,399,52.5012033333,8.98799,15:09:53.127000
0513_004,7,579,52.501545,8.98779833333,15:09:59.115000
0513_004,8,639,52.501675,8.98772666667,15:10:01.114000
0513_004,9,699,52.5018133333,8.98765833333,15:10:03.113000
0513_004,10,770,52.50196,8.98758666667,15:10:05.487000
0513_004,11,819,52.5021016667,8.98750666667,15:10:07.139000
0513_004,12,879,52.5022333333,8.98742333333,15:10:09.122000
0513_005,9,1080,52.50235,8.98909666667,15:13:41.122000
0513_005,4,540,52.5019116667,8.98835833333,15:13:23.122000
0513_005,5,630,52.5019533333,8.988615,15:13:26.119000
0513_005,6,762,52.50203,8.98882666667,15:13:30.509000
0513_005,8,990,52.50234,8.98886166667,15:13:38.119000
0513_006,7,540,52.489885,9.03252166667,13:52:37.584000
0513_006,9,648,52.4898166667,9.033005,13:52:41.162000
0513_006,10,707,52.4897816667,9.033245,13:52:43.169000
0513_006,12,852,52.4897533333,9.03378,13:52:47.580000
0513_006,13,889,52.4897633333,9.03408333333,13:52:49.208000
0513_006,14,947,52.4897683333,9.03440166667,13:52:51.167000
0513_007,3,328,52.498125,8.98963333333,16:19:24.326000
0513_007,4,478,52.49799,8.98972,16:19:29.346000
0513_007,5,628,52.4978316667,8.98975833333,16:19:34.326000
0513_008,10,1029,52.48904,9.04389,13:57:32.562000
0513_008,11,1107,52.4890216667,9.04417166667,13:57:35.172000
0513_008,12,1198,52.48902,9.04448333333,13:57:38.174000
0513_008,14,1377,52.4890133333,9.04510833333,13:57:44.171000
0513_008,22,2036,52.4896016667,9.047145,13:58:06.165000
0513_008,29,2546,52.4901816667,9.04849,13:58:23.163000
0513_008,1,28,52.48929,9.04131833333,13:56:59.165000
0513_008,4,478,52.4892666667,9.04209,13:57:14.171000
0513_008,6,658,52.4891766667,9.04268,13:57:20.176000
0513_008,9,930,52.489065,9.04361833333,13:57:29.173000
0513_009,22,1049,52.4811,8.98668833333,15:28:01.221000
0513_009,23,1091,52.481145,8.98692833333,15:28:02.649000
0513_009,26,1199,52.4812683333,8.98776333333,15:28:06.220000
0513_009,27,1258,52.4813216667,8.987995,15:28:08.220000
0513_009,29,1391,52.4816683333,8.98817833333,15:28:12.643000
0513_009,31,1498,52.482,8.98843,15:28:16.219000
0513_009,33,1618,52.4819716667,8.98906333333,15:28:20.223000
0513_009,34,1691,52.4819183333,8.989435,15:28:22.648000
0513_009,36,1798,52.4818016667,8.99027833333,15:28:26.223000
0513_009,37,1841,52.4817716667,8.9905,15:28:27.663000
0513_009,38,1859,52.4817383333,8.990725,15:28:28.239000
0513_009,39,1889,52.4817083333,8.99095,15:28:29.239000
0513_009,40,1918,52.4816733333,8.99118,15:28:30.223000
0513_009,42,1991,52.4816,8.99164,15:28:32.647000
0513_009,47,2141,52.4813066667,8.99278166667,15:28:37.652000
0513_009,52,2291,52.4809266667,8.99386,15:28:42.653000
0513_009,54,2368,52.4807283333,8.99441166667,15:28:45.216000
0513_009,4,240,52.4801433333,8.98126666667,15:27:34.237000
0513_009,8,492,52.4804033333,8.98264833333,15:27:42.649000
0513_009,1,59,52.480005,8.98033833333,15:27:28.212000
0513_009,13,792,52.48072,8.98456166667,15:27:52.649000
0513_009,18,942,52.4809233333,8.9857,15:27:57.649000
0513_009,20,988,52.48101,8.98619,15:27:59.213000
0513_010,1,121,52.4892333333,8.98824333333,15:44:10.225000
0513_010,3,361,52.4889583333,8.98790666667,15:44:18.224000
0513_010,4,492,52.4889266667,8.98761333333,15:44:22.599000
0513_010,5,601,52.4888933333,8.98735333333,15:44:26.223000
0513_011,4,213,52.4539366667,9.00454833333,10:08:54.937000
0513_011,5,257,52.454015,9.00453666667,10:08:56.408000
0513_011,6,273,52.454095,9.004525,10:08:56.936000
0513_011,7,303,52.454175,9.00451166667,10:08:57.936000
0513_011,8,333,52.454255,9.0045,10:08:58.936000
0513_011,9,363,52.4543366667,9.00448833333,10:08:59.935000
0513_011,10,407,52.45442,9.00447666667,10:09:01.408000
0513_011,11,423,52.4545033333,9.004465,10:09:01.937000
0513_011,12,453,52.4545883333,9.00445166667,10:09:02.936000
0513_011,13,483,52.4546733333,9.00444,10:09:03.936000
0513_011,14,513,52.45476,9.004425,10:09:04.956000
0513_011,15,557,52.4548466667,9.00441,10:09:06.429000
0513_012,14,1005,52.507185,8.99775,12:35:33.873000
0513_012,17,1185,52.5070516667,8.99872,12:35:39.867000
0513_012,19,1305,52.5069966667,8.99933833333,12:35:43.874000
0513_012,20,1365,52.5069583333,8.99965166667,12:35:45.874000
0513_012,22,1485,52.506885,9.00021833333,12:35:49.872000
0513_012,4,405,52.507375,8.99462666667,12:35:13.870000
0513_012,1,46,52.50741,8.99388833333,12:35:01.872000
0513_012,6,540,52.5073716667,8.99517333333,12:35:18.343000
0513_013,14,1034,52.5191333333,9.02901,16:02:27.152000
0513_013,15,1094,52.5191133333,9.02926333333,16:02:29.151000
0513_013,16,1154,52.5190783333,9.02951666667,16:02:31.151000
0513_013,17,1214,52.51903,9.02976833333,16:02:33.153000
0513_013,18,1283,52.518985,9.030005,16:02:35.455000
0513_013,4,405,52.5198416667,9.02693333333,16:02:06.152000
0513_013,1,45,52.52008,9.02625333333,16:01:54.149000
0513_013,5,494,52.519745,9.02718333333,16:02:09.145000
0513_013,8,684,52.51948,9.027755,16:02:15.454000
0513_013,9,735,52.5193833333,9.027955,16:02:17.151000
0513_013,10,795,52.5193,9.02816166667,16:02:19.152000
0513_013,11,855,52.5192,9.02837,16:02:21.152000
0513_013,12,915,52.5191266667,9.02857333333,16:02:23.168000
0513_013,13,983,52.51909,9.028795,16:02:25.453000
0513_014,15,1327,52.52629,9.01529666667,14:23:56.064000
0513_014,16,1417,52.5262816667,9.01559833333,14:23:59.064000
0513_014,17,1507,52.5262916667,9.01593166667,14:24:02.063000
0513_014,18,1567,52.526315,9.01617333333,14:24:04.061000
0513_014,19,1627,52.526345,9.01642166667,14:24:06.064000
0513_014,22,1806,52.526415,9.01721166667,14:24:12.056000
0513_014,23,1866,52.526435,9.01749166667,14:24:14.063000
0513_014,26,2046,52.5264866667,9.01826666667,14:24:20.064000
0513_014,29,2227,52.5265366667,9.01906666667,14:24:26.080000
0513_014,31,2346,52.52661,9.01963333333,14:24:30.063000
0513_014,32,2406,52.52665,9.01988333333,14:24:32.063000
0513_014,34,2526,52.5266683333,9.02036,14:24:36.080000
0513_014,35,2598,52.5266866667,9.02063,14:24:38.462000
0513_014,36,2646,52.52675,9.02089666667,14:24:40.056000
0513_014,37,2706,52.5267833333,9.02116166667,14:24:42.057000
0513_014,38,2766,52.526825,9.02141,14:24:44.062000
0513_014,39,2826,52.52685,9.02164666667,14:24:46.081000
0513_014,40,2898,52.5268383333,9.02187333333,14:24:48.463000
0513_014,42,3066,52.526775,9.02239833333,14:24:54.061000
0513_014,43,3155,52.5267916667,9.02262666667,14:24:57.061000
0513_014,3,398,52.5267583333,9.01217666667,14:23:25.073000
0513_014,1,68,52.5268033333,9.01185166667,14:23:14.070000
0513_014,8,848,52.5263083333,9.01347,14:23:40.073000
0513_014,9,950,52.526295,9.01378,14:23:43.499000
0513_015,12,1270,52.5264816667,9.02609833333,14:28:57.067000
0513_015,20,1780,52.5261533333,9.02814833333,14:29:14.077000
0513_015,28,2260,52.525485,9.03073333333,14:29:30.076000
0513_015,34,2620,52.52479,9.03255333333,14:29:42.084000
0513_015,35,2680,52.5246883333,9.03284166667,14:29:44.084000
0513_015,36,2740,52.524595,9.03309333333,14:29:46.084000
0513_015,37,2750,52.524595,9.03309333333,14:29:46.084000
0513_015,3,413,52.5266766667,9.02376166667,14:28:28.481000
